"subj_idx","rt","correct","coherence","part","response","coherent_direction","isMatch","association","difficulty"
1,2.634,0,0.08,"match_RDK","f",180,"mismatch","other",3
1,2.246,1,0.03,"match_RDK","f",180,"match","other",4
1,1.502,1,0.12,"match_RDK","j",180,"mismatch","other",1
1,1.676,1,0.08,"match_RDK","f",0,"match","self",3
1,2.081,1,0.12,"match_RDK","j",0,"mismatch","self",1
1,1.711,1,0.08,"match_RDK","j",180,"mismatch","other",2
1,2.343,0,0.03,"match_RDK","f",0,"mismatch","self",4
1,1.531,0,0.08,"match_RDK","j",180,"match","other",2
1,1.482,0,0.03,"match_RDK","f",180,"mismatch","other",4
1,1.176,0,0.08,"match_RDK","j",0,"match","self",2
1,1.739,1,0.12,"match_RDK","f",0,"match","self",1
1,1.39,1,0.08,"match_RDK","f",180,"match","other",3
1,1.384,0,0.08,"match_RDK","f",0,"mismatch","self",3
1,1.856,1,0.03,"match_RDK","j",180,"mismatch","other",4
1,2.213,1,0.08,"match_RDK","f",180,"match","other",3
1,2.066,1,0.12,"match_RDK","j",0,"mismatch","self",1
1,1.826,0,0.12,"match_RDK","f",180,"mismatch","other",1
1,1.701,0,0.08,"match_RDK","f",180,"mismatch","other",2
1,1.188,1,0.08,"match_RDK","j",180,"mismatch","other",3
1,1.718,0,0.12,"match_RDK","j",180,"match","other",1
1,2.017,1,0.03,"match_RDK","j",0,"mismatch","self",4
1,2.031,0,0.03,"match_RDK","j",0,"match","self",4
1,2.033,1,0.08,"match_RDK","f",0,"match","self",2
1,0.961,1,0.08,"match_RDK","j",0,"mismatch","self",3
1,1.319,1,0.12,"match_RDK","f",0,"match","self",1
1,1.286,1,0.08,"match_RDK","j",0,"mismatch","self",2
1,1.144,1,0.08,"match_RDK","f",0,"match","self",3
1,1.179,1,0.03,"match_RDK","f",180,"match","other",4
1,2.246,0,0.08,"match_RDK","j",180,"match","other",2
1,1.428,1,0.08,"match_RDK","f",180,"match","other",2
1,1.737,0,0.03,"match_RDK","j",180,"match","other",4
1,2.113,0,0.08,"match_RDK","f",180,"mismatch","other",2
1,2.202,0,0.12,"match_RDK","f",0,"mismatch","self",1
1,1.421,1,0.08,"match_RDK","f",180,"match","other",3
1,1.384,1,0.03,"match_RDK","j",180,"mismatch","other",4
1,1.053,1,0.12,"match_RDK","f",0,"match","self",1
1,1.253,0,0.08,"match_RDK","j",0,"match","self",3
1,1.637,0,0.08,"match_RDK","f",0,"mismatch","self",3
1,1.563,0,0.12,"match_RDK","j",180,"match","other",1
1,2.136,1,0.08,"match_RDK","j",0,"mismatch","self",2
1,1.37,1,0.08,"match_RDK","j",180,"mismatch","other",3
1,1.258,1,0.03,"match_RDK","f",0,"match","self",4
1,1.409,1,0.03,"match_RDK","j",0,"mismatch","self",4
1,2.742,0,0.12,"match_RDK","f",180,"mismatch","other",1
1,2.208,0,0.08,"match_RDK","j",0,"match","self",2
1,2.595,0,0.12,"match_RDK","f",0,"mismatch","self",1
1,1.29,0,0.03,"match_RDK","j",0,"match","self",4
1,2.82,1,0.03,"match_RDK","f",180,"match","other",4
1,1.363,0,0.08,"match_RDK","f",0,"mismatch","self",3
1,1.273,1,0.03,"match_RDK","j",180,"mismatch","other",4
