"subj_idx","group","rt_1_other","rt_1_self","rt_2_other","rt_2_self","rt_3_other","rt_3_self","rt_4_other","rt_4_self","acc_1_other","acc_1_self","acc_2_other","acc_2_self","acc_3_other","acc_3_self","acc_4_other","acc_4_self"
"1","motion",0.746210526315789,0.658642857142857,0.815,0.732368421052632,0.7454375,0.707928571428571,0.829533333333333,0.693769230769231,0.791666666666667,0.608695652173913,0.782608695652174,0.826086956521739,0.727272727272727,0.608695652173913,0.652173913043478,0.565217391304348
"2","motion",0.736428571428571,0.709777777777778,0.9559375,0.844611111111111,0.798857142857143,0.8765,0.819133333333333,0.975571428571429,0.875,0.75,0.666666666666667,0.75,0.875,0.75,0.625,0.583333333333333
"3","motion",0.577470588235294,0.507272727272727,0.510846153846154,0.614764705882353,0.557470588235294,0.547578947368421,0.571866666666667,0.585052631578947,0.708333333333333,0.916666666666667,0.541666666666667,0.708333333333333,0.708333333333333,0.791666666666667,0.625,0.791666666666667
"4","motion",0.622631578947368,0.54,0.568333333333333,0.582142857142857,0.602266666666667,0.536769230769231,0.620466666666667,0.561461538461538,0.791666666666667,0.708333333333333,0.75,0.583333333333333,0.625,0.541666666666667,0.625,0.541666666666667
"5","motion",0.901714285714286,0.841105263157895,0.9396875,0.869,0.975833333333333,0.876611111111111,0.941538461538462,0.948666666666667,0.875,0.826086956521739,0.8,0.590909090909091,0.857142857142857,0.818181818181818,0.684210526315789,0.681818181818182
"6","motion",1.40205263157895,1.32938095238095,1.35405882352941,1.346875,1.32745,1.295,1.40776470588235,1.46607142857143,0.791666666666667,0.875,0.708333333333333,0.666666666666667,0.833333333333333,0.708333333333333,0.739130434782609,0.583333333333333
"7","motion",1.0485,1.03972727272727,0.975105263157895,0.972833333333333,1.035,1.1068,1.13672222222222,1.05364285714286,0.956521739130435,0.916666666666667,0.826086956521739,0.75,0.869565217391304,0.625,0.75,0.608695652173913
"8","motion",0.710684210526316,0.813157894736842,0.762411764705882,0.858545454545455,0.73345,0.747285714285714,0.875076923076923,0.89475,0.791666666666667,0.791666666666667,0.708333333333333,0.458333333333333,0.833333333333333,0.583333333333333,0.590909090909091,0.545454545454545
"9","motion",0.910055555555556,0.835636363636364,0.880916666666667,0.844166666666667,0.938833333333333,0.8763125,0.973692307692308,0.77975,0.75,0.478260869565217,0.5,0.75,0.75,0.666666666666667,0.541666666666667,0.666666666666667
"10","motion",0.89095,0.827578947368421,0.835058823529412,0.794157894736842,0.78,0.884058823529412,0.8862,0.8385,0.833333333333333,0.791666666666667,0.708333333333333,0.791666666666667,0.565217391304348,0.708333333333333,0.625,0.727272727272727
"11","motion",0.794833333333333,0.673714285714286,0.790388888888889,0.682277777777778,0.831666666666667,0.7623,0.879933333333333,0.8774,0.75,0.875,0.75,0.75,0.75,0.416666666666667,0.625,0.416666666666667
"12","motion",1.25165,1.30055,1.18091666666667,1.29,1.1795,1.35,1.23441666666667,1.29306666666667,0.833333333333333,0.833333333333333,0.5,0.75,0.583333333333333,0.625,0.5,0.625
"13","motion",0.577608695652174,0.885294117647059,0.651947368421053,0.798866666666667,0.661904761904762,0.854470588235294,0.596411764705882,0.875789473684211,0.958333333333333,0.708333333333333,0.791666666666667,0.625,0.875,0.708333333333333,0.708333333333333,0.791666666666667
"14","motion",0.797333333333333,0.851111111111111,0.802933333333333,0.85675,0.9012,0.9064,0.888777777777778,0.8813125,0.75,0.75,0.625,0.5,0.625,0.625,0.375,0.666666666666667
"15","motion",0.868,0.865722222222222,0.871928571428571,0.862833333333333,0.840894736842105,0.906466666666667,0.919727272727273,0.923333333333333,0.666666666666667,0.75,0.583333333333333,0.75,0.791666666666667,0.652173913043478,0.458333333333333,0.652173913043478
"16","motion",0.429,0.43052380952381,0.550153846153846,0.585533333333333,0.668666666666667,0.5371,0.622545454545455,0.524285714285714,0.541666666666667,0.91304347826087,0.590909090909091,0.652173913043478,0.5,0.833333333333333,0.458333333333333,0.608695652173913
"17","motion",0.9376,0.758571428571429,0.906777777777778,0.797473684210526,0.7849,0.810736842105263,0.8645,0.825117647058824,0.416666666666667,0.875,0.375,0.791666666666667,0.416666666666667,0.791666666666667,0.25,0.708333333333333
"18","motion",0.829388888888889,0.64765,0.848421052631579,0.7515625,0.821,0.719263157894737,0.7924,0.755555555555556,0.75,0.833333333333333,0.791666666666667,0.666666666666667,0.666666666666667,0.791666666666667,0.625,0.375
"19","motion",0.747526315789474,0.64578947368421,0.699285714285714,0.707666666666667,0.706555555555555,0.7345,0.788642857142857,0.733166666666667,0.791666666666667,0.791666666666667,0.875,0.75,0.782608695652174,0.869565217391304,0.608695652173913,0.521739130434783
"20","motion",0.749571428571429,0.659764705882353,0.8061875,0.723888888888889,0.737266666666667,0.677375,0.793,0.693357142857143,0.608695652173913,0.708333333333333,0.666666666666667,0.782608695652174,0.625,0.666666666666667,0.583333333333333,0.583333333333333
"21","motion",0.837952380952381,0.789277777777778,0.787545454545455,0.89878947368421,0.849227272727273,0.976388888888889,0.932235294117647,1.00326666666667,0.875,0.75,0.916666666666667,0.791666666666667,0.916666666666667,0.75,0.708333333333333,0.625
