"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"70",-0.0335697399527186,-0.116910714285714,1,"very easy"
"70",-0.208140610545791,-0.234981481481482,2,"easy"
"70",-0.0489130434782609,-0.151970967741935,3,"difficult"
"70",-0.0643026004728133,-0.436849650349651,4,"very difficult"
"71",-0.0625,-0.0780591506572297,1,"very easy"
"71",0.0208333333333333,-0.203166463414634,2,"easy"
"71",-0.125,-0.0922926470588235,3,"difficult"
"71",-0.179078014184397,0.00534999999999974,4,"very difficult"
"72",0.0833333333333333,-0.00511931443638769,1,"very easy"
"72",-0.20018115942029,0.120841569767442,2,"easy"
"72",-0.0190217391304348,-0.0357140740740742,3,"difficult"
"72",0.106884057971014,0.0193251748251748,4,"very difficult"
"73",0.140898345153664,0.201159636062862,1,"very easy"
"73",0.156336725254394,0.195364912280702,2,"easy"
"73",0.301182033096927,0.210301857585139,3,"difficult"
"73",0.226641998149861,0.18985,4,"very difficult"
"74",-0.0625,-0.119249032882011,1,"very easy"
"74",-0.0416666666666667,-0.0704189723320159,2,"easy"
"74",0.160904255319149,-0.00155882352941172,3,"difficult"
"74",0.179964539007092,-0.348178787878788,4,"very difficult"
"75",-0.149379432624113,-0.245016366612111,1,"very easy"
"75",-0.298315602836879,-0.284154255319149,2,"easy"
"75",-0.490691489361702,-0.0455746031746034,3,"difficult"
"75",-0.520833333333333,0.0465671834625325,4,"very difficult"
"76",-0.5625,-0.507295058139535,1,"very easy"
"76",-0.501850138760407,-0.593034271725826,2,"easy"
"76",-0.788949275362319,-0.615820598006644,3,"difficult"
"76",-0.761111111111111,-0.64337012987013,4,"very difficult"
"77",-0.152173913043478,-0.213779532163743,1,"very easy"
"77",-0.291304347826087,0.078587172538392,2,"easy"
"77",-0.343873517786561,-0.161668157423972,3,"difficult"
"77",-0.391919191919192,-0.22475974025974,4,"very difficult"
"78",-0.143173758865248,-0.259756794425087,1,"very easy"
"78",-0.19459219858156,-0.212239181746656,2,"easy"
"78",-0.223866790009251,-0.0297727272727273,3,"difficult"
"78",-0.472517730496454,0.0452157894736842,4,"very difficult"
"79",0.0833333333333334,0.275820910973085,1,"very easy"
"79",0.145833333333333,0.248638795986622,2,"easy"
"79",0.343971631205674,0.0373097826086957,3,"difficult"
"79",0.297872340425532,0.360771428571429,4,"very difficult"
"80",0,-0.129978723404255,1,"very easy"
"80",-0.00132978723404253,-0.110790404040404,2,"easy"
"80",0.0478723404255319,-0.154853535353535,3,"difficult"
"80",-0.208333333333333,0.16321568627451,4,"very difficult"
"81",-0.0625,-0.271455555555555,1,"very easy"
"81",-0.173913043478261,-0.250826426426426,2,"easy"
"81",-0.133333333333333,-0.234610722610723,3,"difficult"
"81",-0.428853754940711,-0.162676315789474,4,"very difficult"
"82",-0.000886524822695023,-0.392239130434783,1,"very easy"
"82",-0.34280303030303,-0.278396656534954,2,"easy"
"82",-0.533941236068896,-0.344145348837209,3,"difficult"
"82",-0.544444444444445,-0.198896153846154,4,"very difficult"
"83",0.0217198581560283,0.121956973995272,1,"very easy"
"83",0.148936170212766,-0.00476783625731003,2,"easy"
"83",0.330673758865248,-0.029094746716698,3,"difficult"
"83",0.239804964539007,0.0855080745341614,4,"very difficult"
"84",0.00177304964539005,0.0578213530655391,1,"very easy"
"84",0.214095744680851,0.162111111111111,2,"easy"
"84",0.139328063241107,0.316914392059553,3,"difficult"
"84",0.0749113475177304,0.33321,4,"very difficult"
"85",-0.0438829787234043,-0.0259634920634919,1,"very easy"
"85",0.0230496453900709,-0.025953463203463,2,"easy"
"85",-0.247783687943262,-0.0148548387096774,3,"difficult"
"85",-0.0328014184397164,0.0904259259259259,4,"very difficult"
"86",-0.0833333333333334,-0.270900621118012,1,"very easy"
"86",-0.354166666666667,-0.15790780141844,2,"easy"
"86",-0.574911347517731,-0.352003359462486,3,"difficult"
"86",-0.619237588652482,-0.00582826475849751,4,"very difficult"
"87",-0.0208333333333334,0.0781285024154591,1,"very easy"
"87",-0.0208333333333334,0.0336434378629502,2,"easy"
"87",-0.125,-0.0910411184210527,3,"difficult"
"87",-0.0833333333333333,-0.025824827586207,4,"very difficult"
"88",-0.0208333333333333,0.174268270120259,1,"very easy"
"88",0.170212765957447,0.258535135135135,2,"easy"
"88",0.208333333333333,0.294124124124124,3,"difficult"
"88",0.375,0.237426742532006,4,"very difficult"
"89",0.130434782608696,0.198775,1,"very easy"
"89",0.454545454545455,0.510427777777778,2,"easy"
"89",0.351937984496124,0.485001904761905,3,"difficult"
"89",0.211111111111111,-0.0105823863636363,4,"very difficult"
"90",-0.213652482269504,-0.190001863354037,1,"very easy"
