"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"70",0.74468085106383,1.91371428571429,"other",1,"very easy","color"
"70",0.711111111111111,2.030625,"self",1,"very easy","color"
"70",0.782608695652174,1.93938888888889,"other",2,"easy","color"
"70",0.574468085106383,2.17437037037037,"self",2,"easy","color"
"70",0.673913043478261,1.89712903225806,"other",3,"difficult","color"
"70",0.625,2.0491,"self",3,"difficult","color"
"70",0.553191489361702,1.93142307692308,"other",4,"very difficult","color"
"70",0.488888888888889,2.36827272727273,"self",4,"very difficult","color"
"71",0.958333333333333,1.37184782608696,"other",1,"very easy","color"
"71",0.895833333333333,1.44990697674419,"self",1,"very easy","color"
"71",0.833333333333333,1.399175,"other",2,"easy","color"
"71",0.854166666666667,1.60234146341463,"self",2,"easy","color"
"71",0.833333333333333,1.652825,"other",3,"difficult","color"
"71",0.708333333333333,1.74511764705882,"self",3,"difficult","color"
"71",0.595744680851064,1.8175,"other",4,"very difficult","color"
"71",0.416666666666667,1.81215,"self",4,"very difficult","color"
"72",0.770833333333333,1.41602702702703,"other",1,"very easy","color"
"72",0.854166666666667,1.42114634146341,"self",1,"very easy","color"
"72",0.895833333333333,1.50827906976744,"other",2,"easy","color"
"72",0.695652173913043,1.3874375,"self",2,"easy","color"
"72",0.5625,1.54792592592593,"other",3,"difficult","color"
"72",0.543478260869565,1.58364,"self",3,"difficult","color"
"72",0.458333333333333,1.58836363636364,"other",4,"very difficult","color"
"72",0.565217391304348,1.56903846153846,"self",4,"very difficult","color"
"73",0.688888888888889,1.78290322580645,"other",1,"very easy","color"
"73",0.829787234042553,1.58174358974359,"self",1,"very easy","color"
"73",0.652173913043478,1.89873333333333,"other",2,"easy","color"
"73",0.808510638297872,1.70336842105263,"self",2,"easy","color"
"73",0.422222222222222,1.85968421052632,"other",3,"difficult","color"
"73",0.723404255319149,1.64938235294118,"self",3,"difficult","color"
"73",0.425531914893617,1.96135,"other",4,"very difficult","color"
"73",0.652173913043478,1.7715,"self",4,"very difficult","color"
"74",0.979166666666667,1.00031914893617,"other",1,"very easy","color"
"74",0.916666666666667,1.11956818181818,"self",1,"very easy","color"
"74",0.958333333333333,1.09821739130435,"other",2,"easy","color"
"74",0.916666666666667,1.16863636363636,"self",2,"easy","color"
"74",0.5625,1.226,"other",3,"difficult","color"
"74",0.723404255319149,1.22755882352941,"self",3,"difficult","color"
"74",0.458333333333333,1.15295454545455,"other",4,"very difficult","color"
"74",0.638297872340426,1.50113333333333,"self",4,"very difficult","color"
"75",0.979166666666667,1.00482978723404,"other",1,"very easy","color"
"75",0.829787234042553,1.24984615384615,"self",1,"very easy","color"
"75",0.979166666666667,1.11159574468085,"other",2,"easy","color"
"75",0.680851063829787,1.39575,"self",2,"easy","color"
"75",0.9375,1.26304444444444,"other",3,"difficult","color"
"75",0.446808510638298,1.30861904761905,"self",3,"difficult","color"
"75",0.895833333333333,1.40451162790698,"other",4,"very difficult","color"
"75",0.375,1.35794444444444,"self",4,"very difficult","color"
"76",0.895833333333333,1.14976744186047,"other",1,"very easy","color"
"76",0.333333333333333,1.6570625,"self",1,"very easy","color"
"76",0.914893617021277,1.09586046511628,"other",2,"easy","color"
"76",0.41304347826087,1.68889473684211,"self",2,"easy","color"
"76",0.934782608695652,1.21346511627907,"other",3,"difficult","color"
"76",0.145833333333333,1.82928571428571,"self",3,"difficult","color"
"76",0.916666666666667,1.23977272727273,"other",4,"very difficult","color"
"76",0.155555555555556,1.88314285714286,"self",4,"very difficult","color"
"77",0.978260869565217,1.54208888888889,"other",1,"very easy","color"
"77",0.826086956521739,1.75586842105263,"self",1,"very easy","color"
"77",0.891304347826087,1.92343902439024,"other",2,"easy","color"
"77",0.6,1.84485185185185,"self",2,"easy","color"
"77",0.934782608695652,1.78613953488372,"other",3,"difficult","color"
"77",0.590909090909091,1.94780769230769,"self",3,"difficult","color"
"77",0.636363636363636,1.90078571428571,"other",4,"very difficult","color"
"77",0.244444444444444,2.12554545454545,"self",4,"very difficult","color"
"78",0.872340425531915,1.24241463414634,"other",1,"very easy","color"
"78",0.729166666666667,1.50217142857143,"self",1,"very easy","color"
"78",0.854166666666667,1.39734146341463,"other",2,"easy","color"
"78",0.659574468085106,1.60958064516129,"self",2,"easy","color"
"78",0.702127659574468,1.51809090909091,"other",3,"difficult","color"
"78",0.478260869565217,1.54786363636364,"self",3,"difficult","color"
"78",0.791666666666667,1.62981578947368,"other",4,"very difficult","color"
"78",0.319148936170213,1.5846,"self",4,"very difficult","color"
"79",0.875,1.42469047619048,"other",1,"very easy","color"
"79",0.958333333333333,1.14886956521739,"self",1,"very easy","color"
"79",0.8125,1.37376923076923,"other",2,"easy","color"
"79",0.958333333333333,1.12513043478261,"self",2,"easy","color"
"79",0.48936170212766,1.2064347826087,"other",3,"difficult","color"
"79",0.833333333333333,1.169125,"self",3,"difficult","color"
"79",0.446808510638298,1.55542857142857,"other",4,"very difficult","color"
"79",0.74468085106383,1.19465714285714,"self",4,"very difficult","color"
"80",0.979166666666667,1.19172340425532,"other",1,"very easy","color"
"80",0.979166666666667,1.32170212765957,"self",1,"very easy","color"
"80",0.9375,1.22577777777778,"other",2,"easy","color"
"80",0.936170212765957,1.33656818181818,"self",2,"easy","color"
"80",0.702127659574468,1.35109090909091,"other",3,"difficult","color"
"80",0.75,1.50594444444444,"self",3,"difficult","color"
"80",0.708333333333333,1.51788235294118,"other",4,"very difficult","color"
"80",0.5,1.35466666666667,"self",4,"very difficult","color"
"81",1,1.2995,"other",1,"very easy","color"
"81",0.9375,1.57095555555556,"self",1,"very easy","color"
"81",0.978260869565217,1.51582222222222,"other",2,"easy","color"
"81",0.804347826086957,1.76664864864865,"self",2,"easy","color"
"81",0.866666666666667,1.47502564102564,"other",3,"difficult","color"
"81",0.733333333333333,1.70963636363636,"self",3,"difficult","color"
"81",0.863636363636364,1.69447368421053,"other",4,"very difficult","color"
"81",0.434782608695652,1.85715,"self",4,"very difficult","color"
"82",0.958333333333333,1.31876086956522,"other",1,"very easy","color"
"82",0.957446808510638,1.711,"self",1,"very easy","color"
"82",0.979166666666667,1.53153191489362,"other",2,"easy","color"
"82",0.636363636363636,1.80992857142857,"self",2,"easy","color"
"82",0.914893617021277,1.55560465116279,"other",3,"difficult","color"
"82",0.380952380952381,1.89975,"self",3,"difficult","color"
"82",0.833333333333333,1.73695,"other",4,"very difficult","color"
"82",0.288888888888889,1.93584615384615,"self",4,"very difficult","color"
"83",0.957446808510638,1.48448888888889,"other",1,"very easy","color"
"83",0.979166666666667,1.36253191489362,"self",1,"very easy","color"
"83",0.808510638297872,1.57892105263158,"other",2,"easy","color"
"83",0.957446808510638,1.58368888888889,"self",2,"easy","color"
"83",0.541666666666667,1.65480769230769,"other",3,"difficult","color"
"83",0.872340425531915,1.68390243902439,"self",3,"difficult","color"
"83",0.48936170212766,1.6705652173913,"other",4,"very difficult","color"
"83",0.729166666666667,1.58505714285714,"self",4,"very difficult","color"
"84",0.914893617021277,1.41213953488372,"other",1,"very easy","color"
"84",0.916666666666667,1.35431818181818,"self",1,"very easy","color"
"84",0.723404255319149,1.526,"other",2,"easy","color"
"84",0.9375,1.36388888888889,"self",2,"easy","color"
"84",0.565217391304348,1.65426923076923,"other",3,"difficult","color"
"84",0.704545454545455,1.33735483870968,"self",3,"difficult","color"
"84",0.520833333333333,1.76996,"other",4,"very difficult","color"
"84",0.595744680851064,1.43675,"self",4,"very difficult","color"
"85",0.9375,1.18882222222222,"other",1,"very easy","color"
"85",0.893617021276596,1.21478571428571,"self",1,"very easy","color"
"85",0.893617021276596,1.40852380952381,"other",2,"easy","color"
"85",0.916666666666667,1.43447727272727,"self",2,"easy","color"
"85",0.893617021276596,1.5205,"other",3,"difficult","color"
"85",0.645833333333333,1.53535483870968,"self",3,"difficult","color"
"85",0.574468085106383,1.80592592592593,"other",4,"very difficult","color"
