"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"70",0.75,0.865944444444444,"other",1,"very easy","color"
"70",0.708333333333333,0.974764705882353,"self",1,"very easy","color"
"70",0.666666666666667,0.88875,"other",2,"easy","color"
"70",0.625,1.07566666666667,"self",2,"easy","color"
"70",0.625,0.886266666666667,"other",3,"difficult","color"
"70",0.708333333333333,1.03347058823529,"self",3,"difficult","color"
"70",0.75,0.943555555555556,"other",4,"very difficult","color"
"70",0.416666666666667,0.9832,"self",4,"very difficult","color"
"71",0.958333333333333,0.81495652173913,"other",1,"very easy","color"
"71",1,0.725125,"self",1,"very easy","color"
"71",0.833333333333333,0.82335,"other",2,"easy","color"
"71",0.75,0.825111111111111,"self",2,"easy","color"
"71",0.458333333333333,0.959545454545454,"other",3,"difficult","color"
"71",0.75,0.925722222222222,"self",3,"difficult","color"
"71",0.739130434782609,0.972294117647059,"other",4,"very difficult","color"
"71",0.583333333333333,0.815571428571429,"self",4,"very difficult","color"
"72",0.739130434782609,0.733294117647059,"other",1,"very easy","color"
"72",0.708333333333333,0.702176470588235,"self",1,"very easy","color"
"72",0.708333333333333,0.785705882352941,"other",2,"easy","color"
"72",0.75,0.762611111111111,"self",2,"easy","color"
"72",0.739130434782609,0.809,"other",3,"difficult","color"
"72",0.458333333333333,0.891,"self",3,"difficult","color"
"72",0.541666666666667,0.873846153846154,"other",4,"very difficult","color"
"72",0.583333333333333,0.775928571428571,"self",4,"very difficult","color"
"73",0.5,1.11391666666667,"other",1,"very easy","color"
"73",0.916666666666667,0.889409090909091,"self",1,"very easy","color"
"73",0.5,1.12958333333333,"other",2,"easy","color"
"73",0.833333333333333,0.9024,"self",2,"easy","color"
"73",0.5,0.989916666666667,"other",3,"difficult","color"
"73",0.833333333333333,0.9821,"self",3,"difficult","color"
"73",0.625,0.983733333333333,"other",4,"very difficult","color"
"73",0.75,0.877166666666667,"self",4,"very difficult","color"
"74",0.958333333333333,0.679826086956522,"other",1,"very easy","color"
"74",1,0.706541666666667,"self",1,"very easy","color"
"74",0.791666666666667,0.703578947368421,"other",2,"easy","color"
"74",0.875,0.679714285714286,"self",2,"easy","color"
"74",0.541666666666667,0.737230769230769,"other",3,"difficult","color"
"74",0.833333333333333,0.76605,"self",3,"difficult","color"
"74",0.541666666666667,0.743076923076923,"other",4,"very difficult","color"
"74",0.666666666666667,0.8130625,"self",4,"very difficult","color"
"75",1,0.786666666666667,"other",1,"very easy","color"
"75",0.875,0.726666666666667,"self",1,"very easy","color"
"75",0.916666666666667,0.784,"other",2,"easy","color"
"75",0.791666666666667,0.795631578947368,"self",2,"easy","color"
"75",0.916666666666667,0.772954545454545,"other",3,"difficult","color"
"75",0.583333333333333,0.811142857142857,"self",3,"difficult","color"
"75",0.708333333333333,0.882823529411765,"other",4,"very difficult","color"
"75",0.541666666666667,0.776230769230769,"self",4,"very difficult","color"
"76",0.875,0.654761904761905,"other",1,"very easy","color"
"76",0.5,0.853272727272727,"self",1,"very easy","color"
"76",0.875,0.728333333333333,"other",2,"easy","color"
"76",0.523809523809524,0.952818181818182,"self",2,"easy","color"
"76",0.833333333333333,0.73005,"other",3,"difficult","color"
"76",0.173913043478261,0.86325,"self",3,"difficult","color"
"76",0.791666666666667,0.661526315789474,"other",4,"very difficult","color"
"76",0.125,0.933,"self",4,"very difficult","color"
"77",1,0.694,"other",1,"very easy","color"
