"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"1",0.145232815964523,0.0225242424242424,1,"very easy"
"1",0.0761904761904761,0.18483164983165,2,"easy"
"1",0.0565656565656565,0.0194999999999999,3,"difficult"
"1",0.122294372294372,0.133561379310345,4,"very difficult"
"2",0.0212765957446809,0.14415641025641,1,"very easy"
"2",-0.0785529715762274,-0.0178729227761487,2,"easy"
"2",0.00940128649183569,-0.0775959459459463,3,"difficult"
"2",-0.138967668746455,0.0759880952380951,4,"very difficult"
"3",0.104166666666667,0.0261285714285715,1,"very easy"
"3",0.0833333333333334,0.142221949221949,2,"easy"
"3",0.145833333333333,0.23788375,3,"difficult"
"3",0.1875,0.098350439882698,4,"very difficult"
"4",-0.173913043478261,-0.0471874999999999,1,"very easy"
"4",-0.166666666666667,-0.0887044334975369,2,"easy"
"4",0.0163043478260869,-0.134992857142857,3,"difficult"
"4",-0.185013876040703,0.04946875,4,"very difficult"
"5",0.115942028985507,0.0166613636363637,1,"very easy"
"5",-0.0932367149758454,0.180913851351351,2,"easy"
"5",-0.118686868686869,-0.070214778325123,3,"difficult"
"5",-0.255297157622739,0.151261363636364,4,"very difficult"
"6",0.145833333333333,-0.144901169590643,1,"very easy"
"6",-0.0892691951896392,0.0701145431145431,2,"easy"
"6",-0.0851063829787234,0.0382844611528821,3,"difficult"
"6",0.108695652173913,0.189621212121212,4,"very difficult"
"7",-0.0212765957446809,0.105154040404041,1,"very easy"
"7",0.0811170212765957,0.0702893772893773,2,"easy"
"7",-0.136363636363636,0.0713882352941175,3,"difficult"
"7",-0.147222222222222,0.021548548548548,4,"very difficult"
"8",-0.0393569844789357,-0.12405069124424,1,"very easy"
"8",-0.0465116279069767,-0.16580625,2,"easy"
"8",-0.14078947368421,-0.127869463869464,3,"difficult"
"8",-0.113513513513513,-0.240039682539682,4,"very difficult"
"9",-0.0811170212765957,-0.0828150183150185,1,"very easy"
"9",0.0678191489361702,0.0794256410256413,2,"easy"
"9",-0.144444444444444,0.0152887096774195,3,"difficult"
"9",0.153936545240893,-0.162951666666667,4,"very difficult"
"10",0.177777777777778,0.1430125,1,"very easy"
"10",0.177777777777778,-0.0592199440820129,2,"easy"
"10",0.0288416075650119,-0.0724851351351352,3,"difficult"
"10",-0.0761689291101055,-0.0489735449735447,4,"very difficult"
"11",-0.0248226950354611,-0.0418197368421052,1,"very easy"
"11",-0.0706521739130435,0.260253539253539,2,"easy"
"11",0.0208333333333334,-0.0453573975044566,3,"difficult"
"11",-0.117946345975948,0.225291005291005,4,"very difficult"
"12",0.0394503546099291,0.08265737514518,1,"very easy"
"12",0.0317028985507247,0.130228571428571,2,"easy"
"12",0.0771276595744681,0.16030303030303,3,"difficult"
"12",-0.0560386473429951,0.000698717948717897,4,"very difficult"
"13",-0.229166666666667,-0.734333333333333,1,"very easy"
"13",-0.270833333333333,-0.741978294573643,2,"easy"
"13",-0.226950354609929,-0.592443452380952,3,"difficult"
"13",-0.125,-0.425815850815851,4,"very difficult"
"14",0.145833333333333,-0.195475961538461,1,"very easy"
"14",-0.0416666666666666,-0.135883986928105,2,"easy"
"14",-0.0416666666666666,-0.105048245614035,3,"difficult"
"14",0.208333333333333,-0.224027777777778,4,"very difficult"
"15",0.0764119601328903,0.0144607843137254,1,"very easy"
"15",0.0880952380952381,0.0227196029776675,2,"easy"
"15",0.117441860465116,0.000791375291375074,3,"difficult"
"15",0.117216117216117,0.317010909090909,4,"very difficult"
