"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"1",0.536585365853659,1.84809090909091,"other",1,"very easy","motion"
"1",0.681818181818182,1.82556666666667,"self",1,"very easy","motion"
"1",0.523809523809524,1.89609090909091,"other",2,"easy","motion"
"1",0.6,1.71125925925926,"self",2,"easy","motion"
"1",0.488888888888889,1.807,"other",3,"difficult","motion"
"1",0.545454545454545,1.7875,"self",3,"difficult","motion"
"1",0.568181818181818,2.08932,"other",4,"very difficult","motion"
"1",0.69047619047619,1.95575862068966,"self",4,"very difficult","motion"
"2",0.829787234042553,1.63125641025641,"other",1,"very easy","motion"
"2",0.851063829787234,1.4871,"self",1,"very easy","motion"
"2",0.767441860465116,1.7470303030303,"other",2,"easy","motion"
"2",0.688888888888889,1.76490322580645,"self",2,"easy","motion"
"2",0.851063829787234,1.73635,"other",3,"difficult","motion"
"2",0.86046511627907,1.81394594594595,"self",3,"difficult","motion"
"2",0.651162790697674,2.07203571428571,"other",4,"very difficult","motion"
"2",0.51219512195122,1.99604761904762,"self",4,"very difficult","motion"
"3",0.625,1.2783,"other",1,"very easy","motion"
"3",0.729166666666667,1.25217142857143,"self",1,"very easy","motion"
"3",0.6875,1.42530303030303,"other",2,"easy","motion"
"3",0.770833333333333,1.28308108108108,"self",2,"easy","motion"
"3",0.520833333333333,1.41204,"other",3,"difficult","motion"
"3",0.666666666666667,1.17415625,"self",3,"difficult","motion"
"3",0.458333333333333,1.42231818181818,"other",4,"very difficult","motion"
"3",0.645833333333333,1.32396774193548,"self",4,"very difficult","motion"
"4",0.695652173913043,1.1739375,"other",1,"very easy","motion"
"4",0.521739130434783,1.221125,"self",1,"very easy","motion"
"4",0.604166666666667,1.21272413793103,"other",2,"easy","motion"
"4",0.4375,1.30142857142857,"self",2,"easy","motion"
"4",0.608695652173913,1.22410714285714,"other",3,"difficult","motion"
"4",0.625,1.3591,"self",3,"difficult","motion"
"4",0.695652173913043,1.18921875,"other",4,"very difficult","motion"
"4",0.51063829787234,1.13975,"self",4,"very difficult","motion"
"5",0.717391304347826,1.77563636363636,"other",1,"very easy","motion"
"5",0.833333333333333,1.758975,"self",1,"very easy","motion"
"5",0.804347826086957,1.87835135135135,"other",2,"easy","motion"
"5",0.711111111111111,1.6974375,"self",2,"easy","motion"
"5",0.777777777777778,1.82637142857143,"other",3,"difficult","motion"
"5",0.659090909090909,1.89658620689655,"self",3,"difficult","motion"
"5",0.744186046511628,1.905625,"other",4,"very difficult","motion"
"5",0.488888888888889,1.75436363636364,"self",4,"very difficult","motion"
"6",0.791666666666667,1.58592105263158,"other",1,"very easy","motion"
"6",0.9375,1.73082222222222,"self",1,"very easy","motion"
"6",0.893617021276596,1.78195238095238,"other",2,"easy","motion"
"6",0.804347826086957,1.71183783783784,"self",2,"easy","motion"
"6",0.893617021276596,1.76104761904762,"other",3,"difficult","motion"
"6",0.808510638297872,1.72276315789474,"self",3,"difficult","motion"
"6",0.478260869565217,1.98295454545455,"other",4,"very difficult","motion"
"6",0.58695652173913,1.79333333333333,"self",4,"very difficult","motion"
"7",0.957446808510638,1.69922222222222,"other",1,"very easy","motion"
"7",0.936170212765957,1.59406818181818,"self",1,"very easy","motion"
"7",0.8125,1.83371794871795,"other",2,"easy","motion"
"7",0.893617021276596,1.76342857142857,"self",2,"easy","motion"
"7",0.909090909090909,1.8743,"other",3,"difficult","motion"
"7",0.772727272727273,1.80291176470588,"self",3,"difficult","motion"
"7",0.822222222222222,2.06191891891892,"other",4,"very difficult","motion"
"7",0.675,2.04037037037037,"self",4,"very difficult","motion"
"8",0.795454545454545,1.91214285714286,"other",1,"very easy","motion"
"8",0.75609756097561,2.0361935483871,"self",1,"very easy","motion"
"8",0.744186046511628,1.94609375,"other",2,"easy","motion"
"8",0.697674418604651,2.1119,"self",2,"easy","motion"
"8",0.825,1.90551515151515,"other",3,"difficult","motion"
"8",0.684210526315789,2.03338461538462,"self",3,"difficult","motion"
"8",0.6,2.0662380952381,"other",4,"very difficult","motion"
"8",0.486486486486487,2.30627777777778,"self",4,"very difficult","motion"
"9",0.893617021276596,1.63492857142857,"other",1,"very easy","motion"
"9",0.8125,1.71774358974359,"self",1,"very easy","motion"
"9",0.74468085106383,1.7484,"other",2,"easy","motion"
"9",0.8125,1.66897435897436,"self",2,"easy","motion"
"9",0.833333333333333,1.78245,"other",3,"difficult","motion"
"9",0.688888888888889,1.76716129032258,"self",3,"difficult","motion"
"9",0.521739130434783,1.76420833333333,"other",4,"very difficult","motion"
"9",0.675675675675676,1.92716,"self",4,"very difficult","motion"
"10",0.711111111111111,1.9143125,"other",1,"very easy","motion"
"10",0.888888888888889,1.7713,"self",1,"very easy","motion"
"10",0.644444444444444,1.89648275862069,"other",2,"easy","motion"
"10",0.822222222222222,1.9557027027027,"self",2,"easy","motion"
"10",0.822222222222222,1.86586486486486,"other",3,"difficult","motion"
"10",0.851063829787234,1.93835,"self",3,"difficult","motion"
"10",0.794117647058823,2.05474074074074,"other",4,"very difficult","motion"
"10",0.717948717948718,2.10371428571429,"self",4,"very difficult","motion"
"11",0.833333333333333,1.699075,"other",1,"very easy","motion"
"11",0.808510638297872,1.74089473684211,"self",1,"very easy","motion"
"11",0.875,1.83152380952381,"other",2,"easy","motion"
"11",0.804347826086957,1.57127027027027,"self",2,"easy","motion"
"11",0.6875,1.74684848484848,"other",3,"difficult","motion"
"11",0.708333333333333,1.79220588235294,"self",3,"difficult","motion"
"11",0.574468085106383,2.05348148148148,"other",4,"very difficult","motion"
"11",0.456521739130435,1.82819047619048,"self",4,"very difficult","motion"
"12",0.854166666666667,1.74560975609756,"other",1,"very easy","motion"
"12",0.893617021276596,1.66295238095238,"self",1,"very easy","motion"
"12",0.729166666666667,1.89194285714286,"other",2,"easy","motion"
"12",0.760869565217391,1.76171428571429,"self",2,"easy","motion"
"12",0.625,1.873,"other",3,"difficult","motion"
"12",0.702127659574468,1.71269696969697,"self",3,"difficult","motion"
"12",0.577777777777778,1.89461538461538,"other",4,"very difficult","motion"
"12",0.521739130434783,1.89391666666667,"self",4,"very difficult","motion"
"13",0.916666666666667,0.968181818181818,"other",1,"very easy","motion"
"13",0.6875,1.70251515151515,"self",1,"very easy","motion"
"13",0.895833333333333,0.965488372093023,"other",2,"easy","motion"
"13",0.625,1.70746666666667,"self",2,"easy","motion"
"13",0.893617021276596,1.04911904761905,"other",3,"difficult","motion"
"13",0.666666666666667,1.6415625,"self",3,"difficult","motion"
"13",0.8125,1.26048717948718,"other",4,"very difficult","motion"
"13",0.6875,1.68630303030303,"self",4,"very difficult","motion"
"14",0.666666666666667,1.5130625,"other",1,"very easy","motion"
"14",0.8125,1.70853846153846,"self",1,"very easy","motion"
"14",0.75,1.70252777777778,"other",2,"easy","motion"
"14",0.708333333333333,1.83841176470588,"self",2,"easy","motion"
"14",0.791666666666667,1.69886842105263,"other",3,"difficult","motion"
"14",0.75,1.80391666666667,"self",3,"difficult","motion"
"14",0.375,1.73222222222222,"other",4,"very difficult","motion"
"14",0.583333333333333,1.95625,"self",4,"very difficult","motion"
"15",0.714285714285714,1.86916666666667,"other",1,"very easy","motion"
"15",0.790697674418605,1.85470588235294,"self",1,"very easy","motion"
"15",0.65,1.83246153846154,"other",2,"easy","motion"
"15",0.738095238095238,1.80974193548387,"self",2,"easy","motion"
