"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"1",0.791666666666667,0.746210526315789,"other",1,"very easy","motion"
"1",0.608695652173913,0.658642857142857,"self",1,"very easy","motion"
"1",0.782608695652174,0.815,"other",2,"easy","motion"
"1",0.826086956521739,0.732368421052632,"self",2,"easy","motion"
"1",0.727272727272727,0.7454375,"other",3,"difficult","motion"
"1",0.608695652173913,0.707928571428571,"self",3,"difficult","motion"
"1",0.652173913043478,0.829533333333333,"other",4,"very difficult","motion"
"1",0.565217391304348,0.693769230769231,"self",4,"very difficult","motion"
"2",0.875,0.736428571428571,"other",1,"very easy","motion"
"2",0.75,0.709777777777778,"self",1,"very easy","motion"
"2",0.666666666666667,0.9559375,"other",2,"easy","motion"
"2",0.75,0.844611111111111,"self",2,"easy","motion"
"2",0.875,0.798857142857143,"other",3,"difficult","motion"
"2",0.75,0.8765,"self",3,"difficult","motion"
"2",0.625,0.819133333333333,"other",4,"very difficult","motion"
"2",0.583333333333333,0.975571428571429,"self",4,"very difficult","motion"
"3",0.708333333333333,0.577470588235294,"other",1,"very easy","motion"
"3",0.916666666666667,0.507272727272727,"self",1,"very easy","motion"
"3",0.541666666666667,0.510846153846154,"other",2,"easy","motion"
"3",0.708333333333333,0.614764705882353,"self",2,"easy","motion"
"3",0.708333333333333,0.557470588235294,"other",3,"difficult","motion"
"3",0.791666666666667,0.547578947368421,"self",3,"difficult","motion"
"3",0.625,0.571866666666667,"other",4,"very difficult","motion"
"3",0.791666666666667,0.585052631578947,"self",4,"very difficult","motion"
"4",0.791666666666667,0.622631578947368,"other",1,"very easy","motion"
"4",0.708333333333333,0.54,"self",1,"very easy","motion"
"4",0.75,0.568333333333333,"other",2,"easy","motion"
"4",0.583333333333333,0.582142857142857,"self",2,"easy","motion"
"4",0.625,0.602266666666667,"other",3,"difficult","motion"
"4",0.541666666666667,0.536769230769231,"self",3,"difficult","motion"
"4",0.625,0.620466666666667,"other",4,"very difficult","motion"
"4",0.541666666666667,0.561461538461538,"self",4,"very difficult","motion"
"5",0.875,0.901714285714286,"other",1,"very easy","motion"
"5",0.826086956521739,0.841105263157895,"self",1,"very easy","motion"
"5",0.8,0.9396875,"other",2,"easy","motion"
"5",0.590909090909091,0.869,"self",2,"easy","motion"
"5",0.857142857142857,0.975833333333333,"other",3,"difficult","motion"
"5",0.818181818181818,0.876611111111111,"self",3,"difficult","motion"
"5",0.684210526315789,0.941538461538462,"other",4,"very difficult","motion"
"5",0.681818181818182,0.948666666666667,"self",4,"very difficult","motion"
"6",0.791666666666667,1.40205263157895,"other",1,"very easy","motion"
"6",0.875,1.32938095238095,"self",1,"very easy","motion"
"6",0.708333333333333,1.35405882352941,"other",2,"easy","motion"
"6",0.666666666666667,1.346875,"self",2,"easy","motion"
"6",0.833333333333333,1.32745,"other",3,"difficult","motion"
"6",0.708333333333333,1.295,"self",3,"difficult","motion"
"6",0.739130434782609,1.40776470588235,"other",4,"very difficult","motion"
"6",0.583333333333333,1.46607142857143,"self",4,"very difficult","motion"
"7",0.956521739130435,1.0485,"other",1,"very easy","motion"
"7",0.916666666666667,1.03972727272727,"self",1,"very easy","motion"
"7",0.826086956521739,0.975105263157895,"other",2,"easy","motion"
"7",0.75,0.972833333333333,"self",2,"easy","motion"
"7",0.869565217391304,1.035,"other",3,"difficult","motion"
"7",0.625,1.1068,"self",3,"difficult","motion"
"7",0.75,1.13672222222222,"other",4,"very difficult","motion"
"7",0.608695652173913,1.05364285714286,"self",4,"very difficult","motion"
"8",0.791666666666667,0.710684210526316,"other",1,"very easy","motion"
"8",0.791666666666667,0.813157894736842,"self",1,"very easy","motion"
"8",0.708333333333333,0.762411764705882,"other",2,"easy","motion"
"8",0.458333333333333,0.858545454545455,"self",2,"easy","motion"
"8",0.833333333333333,0.73345,"other",3,"difficult","motion"
"8",0.583333333333333,0.747285714285714,"self",3,"difficult","motion"
"8",0.590909090909091,0.875076923076923,"other",4,"very difficult","motion"
"8",0.545454545454545,0.89475,"self",4,"very difficult","motion"
"9",0.75,0.910055555555556,"other",1,"very easy","motion"
"9",0.478260869565217,0.835636363636364,"self",1,"very easy","motion"
"9",0.5,0.880916666666667,"other",2,"easy","motion"
"9",0.75,0.844166666666667,"self",2,"easy","motion"
"9",0.75,0.938833333333333,"other",3,"difficult","motion"
"9",0.666666666666667,0.8763125,"self",3,"difficult","motion"
"9",0.541666666666667,0.973692307692308,"other",4,"very difficult","motion"
"9",0.666666666666667,0.77975,"self",4,"very difficult","motion"
"10",0.833333333333333,0.89095,"other",1,"very easy","motion"
"10",0.791666666666667,0.827578947368421,"self",1,"very easy","motion"
"10",0.708333333333333,0.835058823529412,"other",2,"easy","motion"
"10",0.791666666666667,0.794157894736842,"self",2,"easy","motion"
"10",0.565217391304348,0.78,"other",3,"difficult","motion"
"10",0.708333333333333,0.884058823529412,"self",3,"difficult","motion"
"10",0.625,0.8862,"other",4,"very difficult","motion"
"10",0.727272727272727,0.8385,"self",4,"very difficult","motion"
"11",0.75,0.794833333333333,"other",1,"very easy","motion"
"11",0.875,0.673714285714286,"self",1,"very easy","motion"
"11",0.75,0.790388888888889,"other",2,"easy","motion"
"11",0.75,0.682277777777778,"self",2,"easy","motion"
"11",0.75,0.831666666666667,"other",3,"difficult","motion"
"11",0.416666666666667,0.7623,"self",3,"difficult","motion"
"11",0.625,0.879933333333333,"other",4,"very difficult","motion"
"11",0.416666666666667,0.8774,"self",4,"very difficult","motion"
"12",0.833333333333333,1.25165,"other",1,"very easy","motion"
"12",0.833333333333333,1.30055,"self",1,"very easy","motion"
"12",0.5,1.18091666666667,"other",2,"easy","motion"
"12",0.75,1.29,"self",2,"easy","motion"
"12",0.583333333333333,1.1795,"other",3,"difficult","motion"
"12",0.625,1.35,"self",3,"difficult","motion"
"12",0.5,1.23441666666667,"other",4,"very difficult","motion"
"12",0.625,1.29306666666667,"self",4,"very difficult","motion"
"13",0.958333333333333,0.577608695652174,"other",1,"very easy","motion"
"13",0.708333333333333,0.885294117647059,"self",1,"very easy","motion"
"13",0.791666666666667,0.651947368421053,"other",2,"easy","motion"
"13",0.625,0.798866666666667,"self",2,"easy","motion"
"13",0.875,0.661904761904762,"other",3,"difficult","motion"
"13",0.708333333333333,0.854470588235294,"self",3,"difficult","motion"
"13",0.708333333333333,0.596411764705882,"other",4,"very difficult","motion"
"13",0.791666666666667,0.875789473684211,"self",4,"very difficult","motion"
"14",0.75,0.797333333333333,"other",1,"very easy","motion"
"14",0.75,0.851111111111111,"self",1,"very easy","motion"
"14",0.625,0.802933333333333,"other",2,"easy","motion"
"14",0.5,0.85675,"self",2,"easy","motion"
"14",0.625,0.9012,"other",3,"difficult","motion"
"14",0.625,0.9064,"self",3,"difficult","motion"
"14",0.375,0.888777777777778,"other",4,"very difficult","motion"
"14",0.666666666666667,0.8813125,"self",4,"very difficult","motion"
"15",0.666666666666667,0.868,"other",1,"very easy","motion"
"15",0.75,0.865722222222222,"self",1,"very easy","motion"
"15",0.583333333333333,0.871928571428571,"other",2,"easy","motion"
"15",0.75,0.862833333333333,"self",2,"easy","motion"
"15",0.791666666666667,0.840894736842105,"other",3,"difficult","motion"
"15",0.652173913043478,0.906466666666667,"self",3,"difficult","motion"
"15",0.458333333333333,0.919727272727273,"other",4,"very difficult","motion"
"15",0.652173913043478,0.923333333333333,"self",4,"very difficult","motion"
"16",0.541666666666667,0.429,"other",1,"very easy","motion"
"16",0.91304347826087,0.43052380952381,"self",1,"very easy","motion"
"16",0.590909090909091,0.550153846153846,"other",2,"easy","motion"
"16",0.652173913043478,0.585533333333333,"self",2,"easy","motion"
"16",0.5,0.668666666666667,"other",3,"difficult","motion"
"16",0.833333333333333,0.5371,"self",3,"difficult","motion"
"16",0.458333333333333,0.622545454545455,"other",4,"very difficult","motion"
"16",0.608695652173913,0.524285714285714,"self",4,"very difficult","motion"
"17",0.416666666666667,0.9376,"other",1,"very easy","motion"
"17",0.875,0.758571428571429,"self",1,"very easy","motion"
"17",0.375,0.906777777777778,"other",2,"easy","motion"
"17",0.791666666666667,0.797473684210526,"self",2,"easy","motion"
"17",0.416666666666667,0.7849,"other",3,"difficult","motion"
"17",0.791666666666667,0.810736842105263,"self",3,"difficult","motion"
"17",0.25,0.8645,"other",4,"very difficult","motion"
"17",0.708333333333333,0.825117647058824,"self",4,"very difficult","motion"
"18",0.75,0.829388888888889,"other",1,"very easy","motion"
"18",0.833333333333333,0.64765,"self",1,"very easy","motion"
"18",0.791666666666667,0.848421052631579,"other",2,"easy","motion"
"18",0.666666666666667,0.7515625,"self",2,"easy","motion"
"18",0.666666666666667,0.821,"other",3,"difficult","motion"
"18",0.791666666666667,0.719263157894737,"self",3,"difficult","motion"
"18",0.625,0.7924,"other",4,"very difficult","motion"
"18",0.375,0.755555555555556,"self",4,"very difficult","motion"
"19",0.791666666666667,0.747526315789474,"other",1,"very easy","motion"
"19",0.791666666666667,0.64578947368421,"self",1,"very easy","motion"
"19",0.875,0.699285714285714,"other",2,"easy","motion"
"19",0.75,0.707666666666667,"self",2,"easy","motion"
"19",0.782608695652174,0.706555555555555,"other",3,"difficult","motion"
"19",0.869565217391304,0.7345,"self",3,"difficult","motion"
"19",0.608695652173913,0.788642857142857,"other",4,"very difficult","motion"
"19",0.521739130434783,0.733166666666667,"self",4,"very difficult","motion"
"20",0.608695652173913,0.749571428571429,"other",1,"very easy","motion"
"20",0.708333333333333,0.659764705882353,"self",1,"very easy","motion"
"20",0.666666666666667,0.8061875,"other",2,"easy","motion"
"20",0.782608695652174,0.723888888888889,"self",2,"easy","motion"
"20",0.625,0.737266666666667,"other",3,"difficult","motion"
"20",0.666666666666667,0.677375,"self",3,"difficult","motion"
"20",0.583333333333333,0.793,"other",4,"very difficult","motion"
"20",0.583333333333333,0.693357142857143,"self",4,"very difficult","motion"
"21",0.875,0.837952380952381,"other",1,"very easy","motion"
"21",0.75,0.789277777777778,"self",1,"very easy","motion"
"21",0.916666666666667,0.787545454545455,"other",2,"easy","motion"
"21",0.791666666666667,0.89878947368421,"self",2,"easy","motion"
"21",0.916666666666667,0.849227272727273,"other",3,"difficult","motion"
"21",0.75,0.976388888888889,"self",3,"difficult","motion"
"21",0.708333333333333,0.932235294117647,"other",4,"very difficult","motion"
"21",0.625,1.00326666666667,"self",4,"very difficult","motion"
