"subj_idx","group","rt_1_other","rt_1_self","rt_2_other","rt_2_self","rt_3_other","rt_3_self","rt_4_other","rt_4_self","acc_1_other","acc_1_self","acc_2_other","acc_2_self","acc_3_other","acc_3_self","acc_4_other","acc_4_self"
"1","motion",1848.09090909091,1825.56666666667,1896.09090909091,1711.25925925926,1807,1787.5,2089.32,1955.75862068966,0.536585365853659,0.681818181818182,0.523809523809524,0.6,0.488888888888889,0.545454545454545,0.568181818181818,0.69047619047619
"2","motion",1631.25641025641,1487.1,1747.0303030303,1764.90322580645,1736.35,1813.94594594595,2072.03571428571,1996.04761904762,0.829787234042553,0.851063829787234,0.767441860465116,0.688888888888889,0.851063829787234,0.86046511627907,0.651162790697674,0.51219512195122
"3","motion",1278.3,1252.17142857143,1425.30303030303,1283.08108108108,1412.04,1174.15625,1422.31818181818,1323.96774193548,0.625,0.729166666666667,0.6875,0.770833333333333,0.520833333333333,0.666666666666667,0.458333333333333,0.645833333333333
"4","motion",1173.9375,1221.125,1212.72413793103,1301.42857142857,1224.10714285714,1359.1,1189.21875,1139.75,0.695652173913043,0.521739130434783,0.604166666666667,0.4375,0.608695652173913,0.625,0.695652173913043,0.51063829787234
"5","motion",1775.63636363636,1758.975,1878.35135135135,1697.4375,1826.37142857143,1896.58620689655,1905.625,1754.36363636364,0.717391304347826,0.833333333333333,0.804347826086957,0.711111111111111,0.777777777777778,0.659090909090909,0.744186046511628,0.488888888888889
"6","motion",1585.92105263158,1730.82222222222,1781.95238095238,1711.83783783784,1761.04761904762,1722.76315789474,1982.95454545455,1793.33333333333,0.791666666666667,0.9375,0.893617021276596,0.804347826086957,0.893617021276596,0.808510638297872,0.478260869565217,0.58695652173913
"7","motion",1699.22222222222,1594.06818181818,1833.71794871795,1763.42857142857,1874.3,1802.91176470588,2061.91891891892,2040.37037037037,0.957446808510638,0.936170212765957,0.8125,0.893617021276596,0.909090909090909,0.772727272727273,0.822222222222222,0.675
"8","motion",1912.14285714286,2036.1935483871,1946.09375,2111.9,1905.51515151515,2033.38461538462,2066.2380952381,2306.27777777778,0.795454545454545,0.75609756097561,0.744186046511628,0.697674418604651,0.825,0.684210526315789,0.6,0.486486486486487
"9","motion",1634.92857142857,1717.74358974359,1748.4,1668.97435897436,1782.45,1767.16129032258,1764.20833333333,1927.16,0.893617021276596,0.8125,0.74468085106383,0.8125,0.833333333333333,0.688888888888889,0.521739130434783,0.675675675675676
"10","motion",1914.3125,1771.3,1896.48275862069,1955.7027027027,1865.86486486486,1938.35,2054.74074074074,2103.71428571429,0.711111111111111,0.888888888888889,0.644444444444444,0.822222222222222,0.822222222222222,0.851063829787234,0.794117647058823,0.717948717948718
