"subj_idx","group","rt_1_other","rt_1_self","rt_2_other","rt_2_self","rt_3_other","rt_3_self","rt_4_other","rt_4_self","acc_1_other","acc_1_self","acc_2_other","acc_2_self","acc_3_other","acc_3_self","acc_4_other","acc_4_self"
"1","motion",746.210526315789,658.642857142857,815,732.368421052632,745.4375,707.928571428571,829.533333333333,693.769230769231,0.791666666666667,0.608695652173913,0.782608695652174,0.826086956521739,0.727272727272727,0.608695652173913,0.652173913043478,0.565217391304348
"2","motion",736.428571428571,709.777777777778,955.9375,844.611111111111,798.857142857143,876.5,819.133333333333,975.571428571429,0.875,0.75,0.666666666666667,0.75,0.875,0.75,0.625,0.583333333333333
"3","motion",577.470588235294,507.272727272727,510.846153846154,614.764705882353,557.470588235294,547.578947368421,571.866666666667,585.052631578947,0.708333333333333,0.916666666666667,0.541666666666667,0.708333333333333,0.708333333333333,0.791666666666667,0.625,0.791666666666667
"4","motion",622.631578947368,540,568.333333333333,582.142857142857,602.266666666667,536.769230769231,620.466666666667,561.461538461538,0.791666666666667,0.708333333333333,0.75,0.583333333333333,0.625,0.541666666666667,0.625,0.541666666666667
"5","motion",901.714285714286,841.105263157895,939.6875,869,975.833333333333,876.611111111111,941.538461538462,948.666666666667,0.875,0.826086956521739,0.8,0.590909090909091,0.857142857142857,0.818181818181818,0.684210526315789,0.681818181818182
"6","motion",1402.05263157895,1329.38095238095,1354.05882352941,1346.875,1327.45,1295,1407.76470588235,1466.07142857143,0.791666666666667,0.875,0.708333333333333,0.666666666666667,0.833333333333333,0.708333333333333,0.739130434782609,0.583333333333333
"7","motion",1048.5,1039.72727272727,975.105263157895,972.833333333333,1035,1106.8,1136.72222222222,1053.64285714286,0.956521739130435,0.916666666666667,0.826086956521739,0.75,0.869565217391304,0.625,0.75,0.608695652173913
"8","motion",710.684210526316,813.157894736842,762.411764705882,858.545454545455,733.45,747.285714285714,875.076923076923,894.75,0.791666666666667,0.791666666666667,0.708333333333333,0.458333333333333,0.833333333333333,0.583333333333333,0.590909090909091,0.545454545454545
"9","motion",910.055555555556,835.636363636364,880.916666666667,844.166666666667,938.833333333333,876.3125,973.692307692308,779.75,0.75,0.478260869565217,0.5,0.75,0.75,0.666666666666667,0.541666666666667,0.666666666666667
"10","motion",890.95,827.578947368421,835.058823529412,794.157894736842,780,884.058823529412,886.2,838.5,0.833333333333333,0.791666666666667,0.708333333333333,0.791666666666667,0.565217391304348,0.708333333333333,0.625,0.727272727272727
"11","motion",794.833333333333,673.714285714286,790.388888888889,682.277777777778,831.666666666667,762.3,879.933333333333,877.4,0.75,0.875,0.75,0.75,0.75,0.416666666666667,0.625,0.416666666666667
"12","motion",1251.65,1300.55,1180.91666666667,1290,1179.5,1350,1234.41666666667,1293.06666666667,0.833333333333333,0.833333333333333,0.5,0.75,0.583333333333333,0.625,0.5,0.625
"14","motion",797.333333333333,851.111111111111,802.933333333333,856.75,901.2,906.4,888.777777777778,881.3125,0.75,0.75,0.625,0.5,0.625,0.625,0.375,0.666666666666667
"15","motion",868,865.722222222222,871.928571428571,862.833333333333,840.894736842105,906.466666666667,919.727272727273,923.333333333333,0.666666666666667,0.75,0.583333333333333,0.75,0.791666666666667,0.652173913043478,0.458333333333333,0.652173913043478
"16","motion",429,430.52380952381,550.153846153846,585.533333333333,668.666666666667,537.1,622.545454545455,524.285714285714,0.541666666666667,0.91304347826087,0.590909090909091,0.652173913043478,0.5,0.833333333333333,0.458333333333333,0.608695652173913
"17","motion",937.6,758.571428571429,906.777777777778,797.473684210526,784.9,810.736842105263,864.5,825.117647058824,0.416666666666667,0.875,0.375,0.791666666666667,0.416666666666667,0.791666666666667,0.25,0.708333333333333
"18","motion",829.388888888889,647.65,848.421052631579,751.5625,821,719.263157894737,792.4,755.555555555556,0.75,0.833333333333333,0.791666666666667,0.666666666666667,0.666666666666667,0.791666666666667,0.625,0.375
"19","motion",747.526315789474,645.789473684211,699.285714285714,707.666666666667,706.555555555556,734.5,788.642857142857,733.166666666667,0.791666666666667,0.791666666666667,0.875,0.75,0.782608695652174,0.869565217391304,0.608695652173913,0.521739130434783
"20","motion",749.571428571429,659.764705882353,806.1875,723.888888888889,737.266666666667,677.375,793,693.357142857143,0.608695652173913,0.708333333333333,0.666666666666667,0.782608695652174,0.625,0.666666666666667,0.583333333333333,0.583333333333333
"21","motion",837.952380952381,789.277777777778,787.545454545455,898.789473684211,849.227272727273,976.388888888889,932.235294117647,1003.26666666667,0.875,0.75,0.916666666666667,0.791666666666667,0.916666666666667,0.75,0.708333333333333,0.625
"22","motion",677.333333333333,525,629.333333333333,632.684210526316,638.846153846154,618.842105263158,634.777777777778,638.615384615385,0.652173913043478,0.75,0.5,0.791666666666667,0.541666666666667,0.826086956521739,0.428571428571429,0.565217391304348
"23","motion",1136.07142857143,869.466666666667,1038.36363636364,917.25,1076,909.75,1012.1,917.615384615385,0.583333333333333,0.625,0.458333333333333,0.666666666666667,0.5,0.666666666666667,0.416666666666667,0.541666666666667
"25","motion",720.55,551.823529411765,569.625,551.75,755.647058823529,664.625,775.5,659.909090909091,0.833333333333333,0.772727272727273,0.666666666666667,1,0.708333333333333,0.666666666666667,0.434782608695652,0.478260869565217
"26","motion",780.294117647059,756.5,799.555555555556,898,846.571428571429,764.466666666667,863.266666666667,933.230769230769,0.708333333333333,0.75,0.75,0.5,0.583333333333333,0.625,0.652173913043478,0.541666666666667
"27","motion",917.076923076923,753.055555555556,771.076923076923,743.6875,980.25,737.555555555556,920.375,789,0.541666666666667,0.75,0.541666666666667,0.666666666666667,0.5,0.75,0.333333333333333,0.625
