"subj_idx","acc","rt","association","difficulty","group"
"71",0.958333333333333,1371.84782608696,"other","1","color"
"71",0.895833333333333,1449.90697674419,"self","1","color"
"71",0.833333333333333,1399.175,"other","2","color"
"71",0.854166666666667,1602.34146341463,"self","2","color"
"71",0.833333333333333,1652.825,"other","3","color"
"71",0.708333333333333,1745.11764705882,"self","3","color"
"71",0.595744680851064,1817.5,"other","4","color"
"71",0.416666666666667,1812.15,"self","4","color"
"72",0.770833333333333,1416.02702702703,"other","1","color"
"72",0.854166666666667,1421.14634146341,"self","1","color"
"72",0.895833333333333,1508.27906976744,"other","2","color"
"72",0.695652173913043,1387.4375,"self","2","color"
"72",0.5625,1547.92592592593,"other","3","color"
"72",0.543478260869565,1583.64,"self","3","color"
"72",0.458333333333333,1588.36363636364,"other","4","color"
"72",0.565217391304348,1569.03846153846,"self","4","color"
"73",0.688888888888889,1782.90322580645,"other","1","color"
"73",0.829787234042553,1581.74358974359,"self","1","color"
"73",0.652173913043478,1898.73333333333,"other","2","color"
"73",0.808510638297872,1703.36842105263,"self","2","color"
"73",0.422222222222222,1859.68421052632,"other","3","color"
"73",0.723404255319149,1649.38235294118,"self","3","color"
"73",0.425531914893617,1961.35,"other","4","color"
"73",0.652173913043478,1771.5,"self","4","color"
"75",0.979166666666667,1004.82978723404,"other","1","color"
"75",0.829787234042553,1249.84615384615,"self","1","color"
"75",0.979166666666667,1111.59574468085,"other","2","color"
"75",0.680851063829787,1395.75,"self","2","color"
"75",0.9375,1263.04444444444,"other","3","color"
"75",0.446808510638298,1308.61904761905,"self","3","color"
"75",0.895833333333333,1404.51162790698,"other","4","color"
"75",0.375,1357.94444444444,"self","4","color"
"76",0.770833333333333,1262.2972972973,"other","1","color"
"76",0.875,1207.90476190476,"self","1","color"
"76",0.666666666666667,1407.40625,"other","2","color"
"76",0.791666666666667,1352.13157894737,"self","2","color"
"76",0.51063829787234,1478.33333333333,"other","3","color"
"76",0.791666666666667,1550.73684210526,"self","3","color"
"76",0.479166666666667,1360.34782608696,"other","4","color"
"76",0.708333333333333,1453.11764705882,"self","4","color"
"77",0.978260869565217,1542.08888888889,"other","1","color"
"77",0.826086956521739,1755.86842105263,"self","1","color"
"77",0.891304347826087,1923.43902439024,"other","2","color"
"77",0.6,1844.85185185185,"self","2","color"
"77",0.934782608695652,1786.13953488372,"other","3","color"
"77",0.590909090909091,1947.80769230769,"self","3","color"
"77",0.636363636363636,1900.78571428571,"other","4","color"
"77",0.244444444444444,2125.54545454545,"self","4","color"
"78",0.872340425531915,1242.41463414634,"other","1","color"
"78",0.729166666666667,1502.17142857143,"self","1","color"
"78",0.854166666666667,1397.34146341463,"other","2","color"
"78",0.659574468085106,1609.58064516129,"self","2","color"
