"subj_idx","acc","rt","association","difficulty","group"
"71",0.958333333333333,814.95652173913,"other","1","color"
"71",1,725.125,"self","1","color"
"71",0.833333333333333,823.35,"other","2","color"
"71",0.75,825.111111111111,"self","2","color"
"71",0.458333333333333,959.545454545455,"other","3","color"
"71",0.75,925.722222222222,"self","3","color"
"71",0.739130434782609,972.294117647059,"other","4","color"
"71",0.583333333333333,815.571428571429,"self","4","color"
"72",0.739130434782609,733.294117647059,"other","1","color"
"72",0.708333333333333,702.176470588235,"self","1","color"
"72",0.708333333333333,785.705882352941,"other","2","color"
"72",0.75,762.611111111111,"self","2","color"
"72",0.739130434782609,809,"other","3","color"
"72",0.458333333333333,891,"self","3","color"
"72",0.541666666666667,873.846153846154,"other","4","color"
"72",0.583333333333333,775.928571428571,"self","4","color"
"73",0.5,1113.91666666667,"other","1","color"
"73",0.916666666666667,889.409090909091,"self","1","color"
"73",0.5,1129.58333333333,"other","2","color"
"73",0.833333333333333,902.4,"self","2","color"
"73",0.5,989.916666666667,"other","3","color"
"73",0.833333333333333,982.1,"self","3","color"
"73",0.625,983.733333333333,"other","4","color"
"73",0.75,877.166666666667,"self","4","color"
"75",1,786.666666666667,"other","1","color"
"75",0.875,726.666666666667,"self","1","color"
"75",0.916666666666667,784,"other","2","color"
"75",0.791666666666667,795.631578947368,"self","2","color"
"75",0.916666666666667,772.954545454545,"other","3","color"
"75",0.583333333333333,811.142857142857,"self","3","color"
"75",0.708333333333333,882.823529411765,"other","4","color"
"75",0.541666666666667,776.230769230769,"self","4","color"
"76",0.958333333333333,910.391304347826,"other","1","color"
"76",0.958333333333333,753.608695652174,"self","1","color"
"76",0.833333333333333,970.1,"other","2","color"
"76",0.833333333333333,764.85,"self","2","color"
"76",0.5,853.666666666667,"other","3","color"
"76",0.833333333333333,968.5,"self","3","color"
"76",0.541666666666667,845.769230769231,"other","4","color"
"76",0.791666666666667,969.578947368421,"self","4","color"
"77",1,694,"other","1","color"
"77",0.666666666666667,918.0625,"self","1","color"
"77",1,746.541666666667,"other","2","color"
"77",0.291666666666667,896.142857142857,"self","2","color"
"77",0.958333333333333,693.391304347826,"other","3","color"
"77",0.434782608695652,854.9,"self","3","color"
"77",0.833333333333333,820.15,"other","4","color"
"77",0.208333333333333,808.2,"self","4","color"
"78",0.916666666666667,709.090909090909,"other","1","color"
"78",0.708333333333333,771.470588235294,"self","1","color"
"78",0.875,698.380952380952,"other","2","color"
"78",0.666666666666667,863.0625,"self","2","color"
"78",0.826086956521739,776.368421052632,"other","3","color"
"78",0.458333333333333,855.909090909091,"self","3","color"
"78",0.739130434782609,809.294117647059,"other","4","color"
"78",0.25,987.166666666667,"self","4","color"
"79",0.791666666666667,808.105263157895,"other","1","color"
"79",0.916666666666667,809.636363636364,"self","1","color"
"79",0.75,744,"other","2","color"
"79",0.666666666666667,723.5,"self","2","color"
"79",0.666666666666667,829.125,"other","3","color"
"79",0.75,820.388888888889,"self","3","color"
"79",0.541666666666667,802.230769230769,"other","4","color"
"79",0.5,821.5,"self","4","color"
"80",1,731.541666666667,"other","1","color"
"80",0.916666666666667,777.590909090909,"self","1","color"
"80",0.833333333333333,780.15,"other","2","color"
"80",0.916666666666667,789.409090909091,"self","2","color"
"80",0.75,882.555555555556,"other","3","color"
"80",0.791666666666667,947.894736842105,"self","3","color"
"80",0.583333333333333,847.928571428571,"other","4","color"
"80",0.708333333333333,876.764705882353,"self","4","color"
"81",0.875,624.952380952381,"other","1","color"
"81",0.916666666666667,687.363636363636,"self","1","color"
"81",0.91304347826087,703.285714285714,"other","2","color"
"81",0.863636363636364,711.947368421053,"self","2","color"
"81",0.782608695652174,696,"other","3","color"
"81",0.681818181818182,744.933333333333,"self","3","color"
"81",0.625,743.533333333333,"other","4","color"
"81",0.583333333333333,724.642857142857,"self","4","color"
"82",1,960.416666666667,"other","1","color"
"82",0.916666666666667,935.090909090909,"self","1","color"
"82",0.958333333333333,938.913043478261,"other","2","color"
"82",0.875,1019.2380952381,"self","2","color"
"82",0.833333333333333,1067.6,"other","3","color"
"82",0.625,1158.33333333333,"self","3","color"
"82",0.791666666666667,1254.94736842105,"other","4","color"
"82",0.5,1338.41666666667,"self","4","color"
"83",0.833333333333333,931,"other","1","color"
"83",0.833333333333333,901.1,"self","1","color"
"83",0.666666666666667,1010.6875,"other","2","color"
"83",0.833333333333333,927.1,"self","2","color"
"83",0.291666666666667,939,"other","3","color"
"83",0.625,925.733333333333,"self","3","color"
"83",0.791666666666667,1096.57894736842,"other","4","color"
"83",0.625,967.066666666667,"self","4","color"
"84",0.916666666666667,767.772727272727,"other","1","color"
"84",0.916666666666667,775.727272727273,"self","1","color"
"84",0.791666666666667,921.947368421053,"other","2","color"
"84",0.791666666666667,788.052631578947,"self","2","color"
"84",0.666666666666667,853.75,"other","3","color"
"84",0.75,851.888888888889,"self","3","color"
"84",0.708333333333333,908.764705882353,"other","4","color"
"84",0.791666666666667,858.684210526316,"self","4","color"
"85",0.833333333333333,625.1,"other","1","color"
"85",0.958333333333333,737.695652173913,"self","1","color"
"85",0.958333333333333,694.826086956522,"other","2","color"
"85",0.826086956521739,837.315789473684,"self","2","color"
"85",0.583333333333333,748.214285714286,"other","3","color"
"85",0.416666666666667,917.2,"self","3","color"
"85",0.75,772.222222222222,"other","4","color"
"85",0.666666666666667,825.3125,"self","4","color"
"86",1,708.916666666667,"other","1","color"
"86",0.75,759,"self","1","color"
"86",0.916666666666667,744.409090909091,"other","2","color"
"86",0.666666666666667,761.375,"self","2","color"
"86",0.875,773.857142857143,"other","3","color"
"86",0.666666666666667,807.0625,"self","3","color"
"86",0.791666666666667,798.947368421053,"other","4","color"
"86",0.416666666666667,808.3,"self","4","color"
"87",0.833333333333333,781.25,"other","1","color"
"87",1,653.083333333333,"self","1","color"
"87",0.708333333333333,818.588235294118,"other","2","color"
"87",0.875,648.761904761905,"self","2","color"
"87",0.583333333333333,989.571428571429,"other","3","color"
"87",0.791666666666667,779.368421052632,"self","3","color"
"87",0.625,928.533333333333,"other","4","color"
"87",0.75,794.722222222222,"self","4","color"
"88",0.958333333333333,636.478260869565,"other","1","color"
"88",1,629.333333333333,"self","1","color"
"88",0.75,682.111111111111,"other","2","color"
"88",0.875,634.47619047619,"self","2","color"
"88",0.625,767.6,"other","3","color"
"88",0.875,714.761904761905,"self","3","color"
"88",0.458333333333333,765.545454545455,"other","4","color"
"88",0.75,737.388888888889,"self","4","color"
"89",0.916666666666667,918.863636363636,"other","1","color"
"89",0.958333333333333,844.782608695652,"self","1","color"
"89",0.782608695652174,978.777777777778,"other","2","color"
"89",0.791666666666667,837.789473684211,"self","2","color"
"89",0.826086956521739,922.947368421053,"other","3","color"
"89",0.791666666666667,830,"self","3","color"
"89",0.5,1009.83333333333,"other","4","color"
"89",0.5,898.583333333333,"self","4","color"
"90",1,847.375,"other","1","color"
"90",0.708333333333333,964.470588235294,"self","1","color"
"90",0.833333333333333,810.55,"other","2","color"
"90",0.772727272727273,1044.70588235294,"self","2","color"
"90",0.761904761904762,756.0625,"other","3","color"
"90",0.583333333333333,1046.85714285714,"self","3","color"
"90",0.736842105263158,799.5,"other","4","color"
"90",0.478260869565217,1096.27272727273,"self","4","color"
"91",0.958333333333333,812.304347826087,"other","1","color"
"91",0.833333333333333,905.75,"self","1","color"
"91",0.875,835.809523809524,"other","2","color"
"91",0.791666666666667,944.631578947368,"self","2","color"
"91",0.791666666666667,935.421052631579,"other","3","color"
"91",0.458333333333333,1003.45454545455,"self","3","color"
"91",0.708333333333333,1052.82352941176,"other","4","color"
"91",0.416666666666667,1060.3,"self","4","color"
"92",1,767.458333333333,"other","1","color"
"92",0.875,806.714285714286,"self","1","color"
"92",1,872.916666666667,"other","2","color"
"92",0.833333333333333,831,"self","2","color"
"92",0.875,924.428571428571,"other","3","color"
"92",0.625,891.066666666667,"self","3","color"
"92",0.708333333333333,815.529411764706,"other","4","color"
"92",0.75,857.111111111111,"self","4","color"
"93",0.958333333333333,761.260869565217,"other","1","color"
"93",0.875,716.714285714286,"self","1","color"
"93",0.75,851.333333333333,"other","2","color"
"93",0.833333333333333,752.35,"self","2","color"
"93",0.791666666666667,832.473684210526,"other","3","color"
"93",0.916666666666667,831.181818181818,"self","3","color"
"93",0.666666666666667,862.4375,"other","4","color"
"93",0.583333333333333,787.714285714286,"self","4","color"
"94",0.833333333333333,875.55,"other","1","color"
"94",1,774.75,"self","1","color"
"94",0.708333333333333,855.882352941176,"other","2","color"
"94",1,842.130434782609,"self","2","color"
"94",0.541666666666667,830.230769230769,"other","3","color"
"94",0.958333333333333,856.695652173913,"self","3","color"
"94",0.25,758.333333333333,"other","4","color"
"94",0.875,904.047619047619,"self","4","color"
"95",0.541666666666667,669.461538461538,"other","1","color"
"95",0.833333333333333,585,"self","1","color"
"95",0.409090909090909,750.222222222222,"other","2","color"
"95",0.791666666666667,652.210526315789,"self","2","color"
"95",0.291666666666667,724.571428571429,"other","3","color"
"95",0.833333333333333,676.2,"self","3","color"
"95",0.347826086956522,648.125,"other","4","color"
"95",0.958333333333333,657.04347826087,"self","4","color"
"96",1,639.708333333333,"other","1","color"
"96",0.916666666666667,741.954545454545,"self","1","color"
"96",0.958333333333333,646.130434782609,"other","2","color"
"96",0.666666666666667,682.8125,"self","2","color"
"96",0.708333333333333,677.882352941176,"other","3","color"
"96",0.583333333333333,734.142857142857,"self","3","color"
"96",0.708333333333333,714.647058823529,"other","4","color"
"96",0.625,814.333333333333,"self","4","color"
"97",0.791666666666667,786,"other","1","color"
"97",0.916666666666667,830.590909090909,"self","1","color"
"97",0.791666666666667,879.526315789474,"other","2","color"
"97",0.708333333333333,771.764705882353,"self","2","color"
"97",0.666666666666667,835,"other","3","color"
"97",0.75,854.222222222222,"self","3","color"
"97",0.565217391304348,926.153846153846,"other","4","color"
"97",0.708333333333333,834.529411764706,"self","4","color"
"100",0.958333333333333,661.478260869565,"other","1","color"
"100",0.875,662.571428571429,"self","1","color"
"100",0.791666666666667,688.631578947368,"other","2","color"
"100",0.666666666666667,655.125,"self","2","color"
"100",0.75,751.833333333333,"other","3","color"
"100",0.75,704.444444444444,"self","3","color"
"100",0.666666666666667,740.5625,"other","4","color"
"100",0.708333333333333,743.882352941176,"self","4","color"
"101",1,662.333333333333,"other","1","color"
