"subj_idx","acc","rt","association","difficulty","group"
"1",0.536585365853659,1848.09090909091,"other","1","motion"
"1",0.681818181818182,1825.56666666667,"self","1","motion"
"1",0.523809523809524,1896.09090909091,"other","2","motion"
"1",0.6,1711.25925925926,"self","2","motion"
"1",0.488888888888889,1807,"other","3","motion"
"1",0.545454545454545,1787.5,"self","3","motion"
"1",0.568181818181818,2089.32,"other","4","motion"
"1",0.69047619047619,1955.75862068966,"self","4","motion"
"2",0.829787234042553,1631.25641025641,"other","1","motion"
"2",0.851063829787234,1487.1,"self","1","motion"
"2",0.767441860465116,1747.0303030303,"other","2","motion"
"2",0.688888888888889,1764.90322580645,"self","2","motion"
"2",0.851063829787234,1736.35,"other","3","motion"
"2",0.86046511627907,1813.94594594595,"self","3","motion"
"2",0.651162790697674,2072.03571428571,"other","4","motion"
"2",0.51219512195122,1996.04761904762,"self","4","motion"
"3",0.625,1278.3,"other","1","motion"
"3",0.729166666666667,1252.17142857143,"self","1","motion"
"3",0.6875,1425.30303030303,"other","2","motion"
"3",0.770833333333333,1283.08108108108,"self","2","motion"
"3",0.520833333333333,1412.04,"other","3","motion"
"3",0.666666666666667,1174.15625,"self","3","motion"
"3",0.458333333333333,1422.31818181818,"other","4","motion"
"3",0.645833333333333,1323.96774193548,"self","4","motion"
"4",0.695652173913043,1173.9375,"other","1","motion"
"4",0.521739130434783,1221.125,"self","1","motion"
"4",0.604166666666667,1212.72413793103,"other","2","motion"
"4",0.4375,1301.42857142857,"self","2","motion"
"4",0.608695652173913,1224.10714285714,"other","3","motion"
"4",0.625,1359.1,"self","3","motion"
"4",0.695652173913043,1189.21875,"other","4","motion"
"4",0.51063829787234,1139.75,"self","4","motion"
"5",0.717391304347826,1775.63636363636,"other","1","motion"
"5",0.833333333333333,1758.975,"self","1","motion"
"5",0.804347826086957,1878.35135135135,"other","2","motion"
"5",0.711111111111111,1697.4375,"self","2","motion"
"5",0.777777777777778,1826.37142857143,"other","3","motion"
"5",0.659090909090909,1896.58620689655,"self","3","motion"
