"subj_idx","acc","rt","association","difficulty","group"
"1",0.791666666666667,746.210526315789,"other","1","motion"
"1",0.608695652173913,658.642857142857,"self","1","motion"
"1",0.782608695652174,815,"other","2","motion"
"1",0.826086956521739,732.368421052632,"self","2","motion"
"1",0.727272727272727,745.4375,"other","3","motion"
"1",0.608695652173913,707.928571428571,"self","3","motion"
"1",0.652173913043478,829.533333333333,"other","4","motion"
"1",0.565217391304348,693.769230769231,"self","4","motion"
"2",0.875,736.428571428571,"other","1","motion"
"2",0.75,709.777777777778,"self","1","motion"
"2",0.666666666666667,955.9375,"other","2","motion"
"2",0.75,844.611111111111,"self","2","motion"
"2",0.875,798.857142857143,"other","3","motion"
"2",0.75,876.5,"self","3","motion"
"2",0.625,819.133333333333,"other","4","motion"
"2",0.583333333333333,975.571428571429,"self","4","motion"
"3",0.708333333333333,577.470588235294,"other","1","motion"
"3",0.916666666666667,507.272727272727,"self","1","motion"
"3",0.541666666666667,510.846153846154,"other","2","motion"
"3",0.708333333333333,614.764705882353,"self","2","motion"
"3",0.708333333333333,557.470588235294,"other","3","motion"
"3",0.791666666666667,547.578947368421,"self","3","motion"
"3",0.625,571.866666666667,"other","4","motion"
"3",0.791666666666667,585.052631578947,"self","4","motion"
"4",0.791666666666667,622.631578947368,"other","1","motion"
"4",0.708333333333333,540,"self","1","motion"
"4",0.75,568.333333333333,"other","2","motion"
"4",0.583333333333333,582.142857142857,"self","2","motion"
"4",0.625,602.266666666667,"other","3","motion"
"4",0.541666666666667,536.769230769231,"self","3","motion"
"4",0.625,620.466666666667,"other","4","motion"
"4",0.541666666666667,561.461538461538,"self","4","motion"
"5",0.875,901.714285714286,"other","1","motion"
"5",0.826086956521739,841.105263157895,"self","1","motion"
"5",0.8,939.6875,"other","2","motion"
"5",0.590909090909091,869,"self","2","motion"
"5",0.857142857142857,975.833333333333,"other","3","motion"
"5",0.818181818181818,876.611111111111,"self","3","motion"
"5",0.684210526315789,941.538461538462,"other","4","motion"
"5",0.681818181818182,948.666666666667,"self","4","motion"
"6",0.791666666666667,1402.05263157895,"other","1","motion"
"6",0.875,1329.38095238095,"self","1","motion"
