"subj_idx","part","difficulty","association","rt","acc","group","task_type"
36,"RDK_color","easy","other",1334.53571428571,0.875,"color","relevant"
36,"RDK_color","easy","self",1118.83870967742,0.96875,"color","relevant"
36,"RDK_color","hard","other",1733.88,0.78125,"color","relevant"
36,"RDK_color","hard","self",1537.78947368421,0.612903225806452,"color","relevant"
36,"RDK_motion","easy","other",2094.5,0.592592592592593,"color","irrelevant"
36,"RDK_motion","easy","self",1190.68,0.78125,"color","irrelevant"
36,"RDK_motion","hard","other",1593,0.642857142857143,"color","irrelevant"
36,"RDK_motion","hard","self",1476.88,0.806451612903226,"color","irrelevant"
36,"match_RDK","easy","other",1897.1,0.943396226415094,"color",NA
36,"match_RDK","easy","self",2140.88372093023,0.86,"color",NA
36,"match_RDK","hard","other",2406.47727272727,0.897959183673469,"color",NA
36,"match_RDK","hard","self",2263.38888888889,0.346153846153846,"color",NA
37,"RDK_color","easy","other",1214.93103448276,0.90625,"color","relevant"
37,"RDK_color","easy","self",1339.35714285714,0.875,"color","relevant"
37,"RDK_color","hard","other",1512.27272727273,0.733333333333333,"color","relevant"
37,"RDK_color","hard","self",1155.71428571429,0.65625,"color","relevant"
37,"RDK_motion","easy","other",948.214285714286,0.4375,"color","irrelevant"
37,"RDK_motion","easy","self",992.190476190476,0.65625,"color","irrelevant"
37,"RDK_motion","hard","other",971.941176470588,0.53125,"color","irrelevant"
37,"RDK_motion","hard","self",978.411764705882,0.53125,"color","irrelevant"
37,"match_RDK","easy","other",1696.65384615385,0.981132075471698,"color",NA
37,"match_RDK","easy","self",1713.94230769231,0.945454545454545,"color",NA
37,"match_RDK","hard","other",1930.21212121212,0.611111111111111,"color",NA
37,"match_RDK","hard","self",1705.05263157895,0.716981132075472,"color",NA
38,"RDK_color","easy","other",950.1,0.625,"color","relevant"
38,"RDK_color","easy","self",780.148148148148,0.84375,"color","relevant"
38,"RDK_color","hard","other",783.333333333333,0.375,"color","relevant"
38,"RDK_color","hard","self",806.793103448276,0.90625,"color","relevant"
38,"RDK_motion","easy","other",977.8,0.645161290322581,"color","irrelevant"
38,"RDK_motion","easy","self",819,0.548387096774194,"color","irrelevant"
38,"RDK_motion","hard","other",984.533333333333,0.483870967741935,"color","irrelevant"
38,"RDK_motion","hard","self",1039.28571428571,0.4375,"color","irrelevant"
38,"match_RDK","easy","other",1670.68965517241,0.547169811320755,"color",NA
38,"match_RDK","easy","self",1513.93617021277,0.854545454545454,"color",NA
38,"match_RDK","hard","other",2125.5,0.392857142857143,"color",NA
38,"match_RDK","hard","self",1902.71739130435,0.821428571428571,"color",NA
39,"RDK_color","easy","other",2372.2,0.892857142857143,"color","relevant"
